Rank_PL_Dez25,Instituição,PL_202512,PL_202601,PL_202602,PL_202603,Delta_PL_Dez25_Jan26,Delta_PL_Jan26_Fev26,Delta_PL_Fev26_Mar26,Delta_PL_Dez25_Mar26,Delta_PL_pct_Dez25_Mar26,Maior_Mes_Aumento_PL,LL_Mensal_Jan26,LL_Mensal_Fev26,LL_Mensal_Mar26,LL_202603,Proxy_Capital_Outras_Jan26,Proxy_Capital_Outras_Fev26,Proxy_Capital_Outras_Mar26,Proxy_Capital_Outras_1T26,LL_202503,Delta_LL_Mar25_Mar26,Delta_LL_pct_Mar25_Mar26
24,VOLKSWAGEN - PRUDENCIAL,6436196539.72,6744753505.47,6803437145.65,8898175620.81,308556965.75,58683640.17999935,2094738475.1599998,2461979081.089999,0.38252080493444734,Fev26->Mar26,-96447095.70000005,-5566235.379999876,-9868314.25,-111881645.32999992,405004061.45000005,64249875.55999923,2104606789.4099998,2573860726.419999,399178318.77,-511059964.0999999,-1.2802798650857194
44,PICPAY - PRUDENCIAL,3469180980.85,4299645213.44,5770158014.07,5735927152.23,830464232.5899997,1470512800.63,-34230861.84000015,2266746171.3799996,0.653395191514227,Jan26->Fev26,79648071.29999995,-9451034.77000022,36947906.380000114,107144942.90999985,750816161.2899997,1479963835.4000003,-71178768.22000027,2159601228.47,65073181.94000006,42071760.96999979,0.6465299485245942
18,CITIBANK - PRUDENCIAL,8480347135.84,10144286009.62,10249718393.47,10227129740.69,1663938873.7800007,105432383.84999847,-22588652.77999878,1746782604.8500004,0.2059800827571874,Dez25->Jan26,583125478.4799995,76080331.32000351,-318827474.83000946,340378334.9699936,1080813395.3000011,29352052.529994965,296238822.0500107,1406404269.8800068,522585150.51000214,-182206815.54000854,-0.34866435711422145
10,SAFRA - PRUDENCIAL,15228825454.63,17258718505.87,17124289134.9,16965956968.24,2029893051.2399998,-134429370.9699993,-158332166.65999985,1737131513.6100006,0.11406864690814766,Dez25->Jan26,321547598.4000015,325844889.44999695,341549070.94999695,988941558.7999954,1708345452.8399982,-460274260.41999626,-499881237.6099968,748189954.8100052,984175292.4100037,4766266.38999176,0.004842903928547468
37,BANCO C6 - PRUDENCIAL,4721090262.57,6139212084.61,6142866379.42,6141644468.81,1418121822.04,3654294.8100004196,-1221910.6099996567,1420554206.2400007,0.3008953710337874,Dez25->Jan26,214734027.3800001,115988786.57999992,267688457.26000118,598411271.2200012,1203387794.6599998,-112334491.7699995,-268910367.87000084,822142935.0199995,543063525.0299988,55347746.19000244,0.10191762775256363
11,BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL,14799235857.63,16195164537.95,16165898184.55,16202234572.92,1395928680.3200016,-29266353.400001526,36336388.37000084,1402998715.290001,0.09480210524293124,Dez25->Jan26,111665966.44000006,280533769.6799998,108362944.64000034,500562680.7600002,1284262713.8800015,-309800123.08000135,-72026556.2699995,902436034.5300007,357608192.7800007,142954487.97999954,0.3997517139321935
17,JP MORGAN CHASE - PRUDENCIAL,9923190578.62,11305766290.59,11313535964.38,11307849235.25,1382575711.9699993,7769673.789999008,-5686729.129999161,1384658656.6299992,0.13953764624991824,Dez25->Jan26,184354161.11999893,196222413.5300026,191535436.52999115,572112011.1799927,1198221550.8500004,-188452739.7400036,-197222165.6599903,812546645.4500065,545947469.5800018,26164541.599990845,0.047925016705580234
12,CIELO IP - PRUDENCIAL,13644262958.0,14832298891.76,14932504238.87,14848810308.21,1188035933.7600002,100205347.11000061,-83693930.66000175,1204547350.209999,0.08828233184290402,Dez25->Jan26,190891523.46000004,45353362.07000017,148586385.8699999,384831271.4000001,997144410.3000002,54851985.04000044,-232280316.53000164,819716078.809999,464655474.44000006,-79824203.03999996,-0.17179223625031773
29,HONDA - PRUDENCIAL,5743499598.49,6346152823.66,6379959356.01,6670827816.1,602653225.1700001,33806532.35000038,290868460.09000015,927328217.6100006,0.1614570005112912,Dez25->Jan26,6056256.089999914,35049611.00000024,62393436.619999886,103499303.71000004,596596969.0800002,-1243078.649999857,228475023.47000027,823828913.9000006,140608689.8699999,-37109386.15999985,-0.26391957847206615
16,BANRISUL - PRUDENCIAL,10222093570.09,11183120127.18,11184692422.87,11105422333.87,961026557.0900002,1572295.690000534,-79270089.0,883328763.7800007,0.08641368401915572,Dez25->Jan26,65513227.75,63710669.69999981,92183199.18999958,221407096.6399994,895513329.3400002,-62138374.009999275,-171453288.18999958,661921667.1400013,241313883.92000008,-19906787.280000687,-0.08249333588530756
