SEGMENTO;-;
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;SITUAÇÃO;
17312661;"AMARIL FRANKLIN CORRETORA DE TÍTULOS E VALORES LTDA";"RUA GUAJAJARAS,581";"3º E 5º ANDARES";"CENTRO";"30180100";"BELO HORIZONTE";"MG";"Brasil";-;-;"https://www.amarilfranklin.com.br";"Autorizada em Atividade";
54211458;"AMICORP DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.";"RUA HELENA 260";"CONJ 144";"VILA OLIMPIA";"04552050";"SAO PAULO";"SP";"Brasil";-;-;"https://www.amicorp.com";"Autorizada sem Atividade";
60375243;"ANCORA ADMINISTRADORA DE CONSORCIOS S.A.";"AVENIDA DR  ANTONIO BARBOSA FILHO  1260";-;"JARDIM CONSOLACAO";"14400005";"FRANCA";"SP";"Brasil";-;-;"https://www.ancoraconsorcios.com.br";"Autorizada em Atividade";
67600379;"ANDBANK DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.";"AV. BRIGADEIRO FARIA LIMA, Nº 2179";"8º ANDAR - CONJUNTO 81 - PARTE";"JARDIM PAULISTANO";"01452000";"SAO PAULO";"SP";"Brasil";-;-;"https://www.lla.com.br";"Autorizada em Atividade";
3832228;"APEC - ADMINISTRADORA DE CONSORCIOS S/A";"RUA 7 DE SETEMBRO 821";-;"CENTRO";"36200078";"BARBACENA";"MG";"Brasil";-;-;"https://consorcioapec.com.br";"Autorizada em Atividade";
37168145;"APROMS NET INSTITUICAO DE PAGAMENTO LTDA.";"RUA DOUTOR NELSON DE ARAÚJO, 340";"1 ANDAR, SALA 02";"JARDIM AMÉRICA";"79824312";"DOURADOS";"MS";"Brasil";-;-;-;"Autorizada em Atividade";
16876258;"APTARE MOBILE TECNOLOGIA DA INFORMACAO LTDA";"AV SANTOS DUMONT, 2828";"SALA 2001-2002";"ALDEOTA";"60150162";"FORTALEZA";"CE";"Brasil";-;-;"https://www.aptare.com.br";-;
57654096;"APUSDIGITAL INSTITUICAO DE PAGAMENTO LTDA";"AVENIDA BRIGADEIRO FARIA LIMA, 1355";"SALA 1202 A";"JARDIM PAULISTANO";"01452919";"SAO PAULO";"SP";"Brasil";-;-;-;"Autorizada em Atividade";
4684647;"ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.";"RUA DO COMERCIO,55 -7ANDAR- CONJUNTO 74B";-;"CENTRO";"11010141";"SANTOS";"SP";"Brasil";-;-;"https://www.arccorretora.com.br";"Autorizada em Atividade";
42259084;"ARTTA SOCIEDADE DE CRÉDITO DIRETO S.A";"RUA MARECHAL DEODORO, N- 630";"21- ANDAR - CONJUNTO 2102/2104 -";"CENTRO";"80035010";"CURITIBA";"PR";"Brasil";-;-;"https://artta.com.br/";"Autorizada em Atividade";
48703388;"ASA SOCIEDADE DE CRÉDITO FINANCIAMENTO E INVESTIMENTO S.A.";"ALAMEDA SANTOS";"9- ANDAR - CONJUNTO 91";"CERQUEIRA CESAR";"01419100";"SAO PAULO";"SP";"Brasil";-;-;-;"Autorizada em Atividade";
19540550;"ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.";"AV  ROLF WIEST  277";"SALA N  814";"BOM RETIRO";"89223005";"JOINVILLE";"SC";"Brasil";-;-;"https://www.asaas.com/";"Autorizada em Atividade";
48786608;"ASAAS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.";"AVENIDA ROLF WIEST";"277  SALA 820";"BOM RETIRO";"89223005";"JOINVILLE";"SC";"Brasil";-;-;-;"Autorizada em Atividade";
5289612;"ASPENFIN-BR - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.";"RUA GENERAL VITORINO, 305";"SALA 301";"CENTRO";"90020171";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.aspeciremprestimos.com.br";"Autorizada em Atividade";
13548938;"ASSOCIACAO BAHIANA DE MEDICINA ABM";"RUA BAEPENDI, 162";"CASA";"ONDINA";"40170070";"SALVADOR";"BA";"Brasil";-;-;"https://www.abmnet.org.br";"Autorizada em Atividade";
655522;"ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX";"AV. DUQUE DE CAXIAS  S/N";"PARTE A";"SETOR MILITAR URBANO";"70630902";"BRASILIA";"DF";"Brasil";-;-;"https://www.poupex.com.br";"Autorizada em Atividade";
92965748;"ASSOCIACAO DOS JUIZES DO RIO GRANDE DO SUL";"RUA CELESTE GOBBATO, 81";-;"PRAIA DE BELAS";"90110160";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.ajuris.org.br";"Autorizada em Atividade";
56913800;"ASTRA INSTITUIÇÃO DE PAGAMENTO LTDA.";"AVENIDA BRIGADEIRO FARIA LIMA N- 1.461,";"4- ANDAR";"JARDIM PAULISTA";"01452002";"SAO PAULO";"SP";"Brasil";-;-;"https://astrait.com.br/";"Autorizada sem Atividade";
34006497;"ASTRO INSTITUICAO DE PAGAMENTO LTDA.";"RUA BUTANTÃ, 194";"2 ANDAR, SALA 107";"PINHEIROS";"05424000";"SAO PAULO";"SP";"Brasil";-;-;"https://www.astropay.com/pt";"Autorizada em Atividade";
44728700;"ATF SOCIEDADE DE CRÉDITO DIRETO S.A.";"R  MOSTARDEIRO  322";"SALA 1201";"MOINHOS DE VENTO";"90430000";"PORTO ALEGRE";"RS";"Brasil";-;-;"https://www.atf.com.br";"Autorizada em Atividade";
44478623;"ATICCA - SOCIEDADE DE CRÉDITO DIRETO S.A.";"RUA PADRE DUARTE  N  151";"1  ANDAR   SALA 11";"CENTRO";"14800360";"ARARAQUARA";"SP";"Brasil";-;-;"https://www.aticca.com.br";"Autorizada em Atividade";
